Date,EUR/USD
18-03-2011,1.40329206
21-03-2011,1.417052746
22-03-2011,1.421706676
23-03-2011,1.416811824
24-03-2011,1.410596371
25-03-2011,1.417193413
28-03-2011,1.402603269
29-03-2011,1.40797472
30-03-2011,1.411113977
31-03-2011,1.412130117
01-04-2011,1.415869117
04-04-2011,1.422333479
05-04-2011,1.422009826
06-04-2011,1.421908855
07-04-2011,1.43352735
08-04-2011,1.43020606
11-04-2011,1.446215272
12-04-2011,1.443793178
13-04-2011,1.447638988
14-04-2011,1.444210172
15-04-2011,1.443209648
18-04-2011,1.441295981
19-04-2011,1.422394156
20-04-2011,1.433794618
21-04-2011,1.451399922
22-04-2011,1.455498219
25-04-2011,1.455709934
26-04-2011,1.457895994
27-04-2011,1.468795419
28-04-2011,1.477999926
29-04-2011,1.484406352
02-05-2011,1.479399443
03-05-2011,1.48238194
04-05-2011,1.483327389
05-05-2011,1.482975483
06-05-2011,1.45443964
09-05-2011,1.435296774
10-05-2011,1.437607884
11-05-2011,1.441109061
12-05-2011,1.421100497
13-05-2011,1.423791528
16-05-2011,1.407796383
17-05-2011,1.415808916
18-05-2011,1.42689991
19-05-2011,1.425516725
20-05-2011,1.43161869
23-05-2011,1.410576463
24-05-2011,1.403666377
25-05-2011,1.409900308
26-05-2011,1.4084903
27-05-2011,1.413507462
30-05-2011,1.429735661
31-05-2011,1.43223381
01-06-2011,1.44279325
02-06-2011,1.434493899
03-06-2011,1.448603511
06-06-2011,1.465502143
07-06-2011,1.458299994
08-06-2011,1.468601346
09-06-2011,1.460195065
10-06-2011,1.451568365
13-06-2011,1.433260322
14-06-2011,1.441690803
15-06-2011,1.445003152
16-06-2011,1.418198228
17-06-2011,1.419909954
20-06-2011,1.428510189
21-06-2011,1.432541609
22-06-2011,1.438166022
23-06-2011,1.431434274
24-06-2011,1.427001715
27-06-2011,1.417133212
28-06-2011,1.431680202
29-06-2011,1.435791492
30-06-2011,1.447890401
01-07-2011,1.449695468
04-07-2011,1.453995585
05-07-2011,1.455307484
06-07-2011,1.442813993
07-07-2011,1.433157563
08-07-2011,1.436451316
11-07-2011,1.420192361
12-07-2011,1.404060483
13-07-2011,1.396901608
14-07-2011,1.423426747
15-07-2011,1.415728688
18-07-2011,1.412309647
19-07-2011,1.411193609
20-07-2011,1.417293906
21-07-2011,1.427001715
22-07-2011,1.442002654
25-07-2011,1.438848972
26-07-2011,1.437153339
27-07-2011,1.450810194
28-07-2011,1.43729794
29-07-2011,1.433198571
01-08-2011,1.436368823
02-08-2011,1.426208019
03-08-2011,1.417333961
04-08-2011,1.435296774
05-08-2011,1.406707168
08-08-2011,1.42940855
09-08-2011,1.417072892
10-08-2011,1.438310862
11-08-2011,1.412469268
12-08-2011,1.422636986
15-08-2011,1.427409172
16-08-2011,1.443834782
17-08-2011,1.439801812
18-08-2011,1.442918181
19-08-2011,1.432439089
22-08-2011,1.436926126
23-08-2011,1.436100721
24-08-2011,1.44370985
25-08-2011,1.441233754
26-08-2011,1.43729794
29-08-2011,1.449506402
30-08-2011,1.452432871
31-08-2011,1.443313837
01-09-2011,1.437463164
02-09-2011,1.426208019
05-09-2011,1.415768862
06-09-2011,1.406311512
07-09-2011,1.400324941
08-09-2011,1.408569694
09-09-2011,1.390414476
12-09-2011,1.360081553
13-09-2011,1.366026878
14-09-2011,1.368606925
15-09-2011,1.374608278
16-09-2011,1.386904836
19-09-2011,1.370144606
20-09-2011,1.360562682
21-09-2011,1.369394064
22-09-2011,1.358603358
23-09-2011,1.34809041
26-09-2011,1.3547014
27-09-2011,1.351807952
28-09-2011,1.358234286
29-09-2011,1.353766203
30-09-2011,1.358584881
03-10-2011,1.336094618
04-10-2011,1.319504857
05-10-2011,1.333013415
06-10-2011,1.333991528
07-10-2011,1.342894673
10-10-2011,1.33859849
11-10-2011,1.36354959
12-10-2011,1.364573002
13-10-2011,1.379196286
14-10-2011,1.373550892
17-10-2011,1.387905836
18-10-2011,1.374400377
19-10-2011,1.374003768
20-10-2011,1.376500368
21-10-2011,1.377903938
24-10-2011,1.384773016
25-10-2011,1.392234087
26-10-2011,1.3904531
27-10-2011,1.387694001
28-10-2011,1.41739428
31-10-2011,1.414007187
01-11-2011,1.386001468
02-11-2011,1.365597844
03-11-2011,1.369000435
04-11-2011,1.38299191
07-11-2011,1.378929973
08-11-2011,1.376007915
09-11-2011,1.382647872
10-11-2011,1.352667451
11-11-2011,1.361007214
14-11-2011,1.378701806
15-11-2011,1.362416387
16-11-2011,1.350712538
17-11-2011,1.344104052
18-11-2011,1.345804453
21-11-2011,1.352996945
22-11-2011,1.348435879
23-11-2011,1.352191925
24-11-2011,1.335202575
25-11-2011,1.333102226
28-11-2011,1.331345201
29-11-2011,1.331699729
30-11-2011,1.332409501
01-12-2011,1.344393134
02-12-2011,1.346692443
05-12-2011,1.341903687
06-12-2011,1.338670135
07-12-2011,1.341201782
08-12-2011,1.340374708
09-12-2011,1.334543347
12-12-2011,1.337166548
13-12-2011,1.317106605
14-12-2011,1.301913738
15-12-2011,1.298802495
16-12-2011,1.302965522
19-12-2011,1.303695917
20-12-2011,1.300779223
21-12-2011,1.308797717
22-12-2011,1.304001927
23-12-2011,1.305602312
26-12-2011,1.304495335
27-12-2011,1.305057049
28-12-2011,1.307206631
29-12-2011,1.292724609
30-12-2011,1.295605302
02-01-2012,1.296008229
03-01-2012,1.294096351
04-01-2012,1.305602312
05-01-2012,1.293142438
06-01-2012,1.279606819
09-01-2012,1.268037796
10-01-2012,1.277595997
11-01-2012,1.27518487
12-01-2012,1.272394061
13-01-2012,1.282051325
16-01-2012,1.264702082
17-01-2012,1.266704679
18-01-2012,1.274599791
19-01-2012,1.286603928
20-01-2012,1.296495676
23-01-2012,1.288477182
24-01-2012,1.302693963
25-01-2012,1.304103971
26-01-2012,1.310736299
27-01-2012,1.309277534
30-01-2012,1.320794582
31-01-2012,1.313956857
01-02-2012,1.307702422
02-02-2012,1.317002535
03-02-2012,1.313715219
06-02-2012,1.312714934
07-02-2012,1.31216383
08-02-2012,1.324854255
09-02-2012,1.324854255
10-02-2012,1.327844977
13-02-2012,1.323679328
14-02-2012,1.315789461
15-02-2012,1.313370109
16-02-2012,1.305806875
17-02-2012,1.312680483
20-02-2012,1.322716355
21-02-2012,1.320480585
22-02-2012,1.324327826
23-02-2012,1.325574279
24-02-2012,1.337363362
27-02-2012,1.346710682
28-02-2012,1.34066236
29-02-2012,1.347799778
01-03-2012,1.33209002
02-03-2012,1.332267523
05-03-2012,1.318617582
06-03-2012,1.322576404
07-03-2012,1.312335968
08-03-2012,1.313991427
09-03-2012,1.327492356
12-03-2012,1.312508225
13-03-2012,1.316829085
14-03-2012,1.308044434
15-03-2012,1.302252889
16-03-2012,1.307873487
19-03-2012,1.317714095
20-03-2012,1.322926283
21-03-2012,1.323766828
22-03-2012,1.321877003
23-03-2012,1.320480585
26-03-2012,1.328303576
27-03-2012,1.33600533
28-03-2012,1.332871318
29-03-2012,1.332622647
30-03-2012,1.331380606
02-04-2012,1.335826874
03-04-2012,1.333333373
04-04-2012,1.322523952
05-04-2012,1.314405918
06-04-2012,1.306506395
09-04-2012,1.307907581
10-04-2012,1.311131477
11-04-2012,1.307360411
12-04-2012,1.311991572
13-04-2012,1.318913221
16-04-2012,1.305653453
17-04-2012,1.312680483
18-04-2012,1.313542604
19-04-2012,1.311991572
20-04-2012,1.314578652
23-04-2012,1.320480585
24-04-2012,1.315201163
25-04-2012,1.319783568
26-04-2012,1.323276401
27-04-2012,1.319087267
30-04-2012,1.32415247
01-05-2012,1.323977232
02-05-2012,1.323977232
03-05-2012,1.314751506
04-05-2012,1.315616369
07-05-2012,1.297033668
08-05-2012,1.306165099
09-05-2012,1.299545169
10-05-2012,1.293660998
11-05-2012,1.293493748
14-05-2012,1.28998971
15-05-2012,1.283202887
16-05-2012,1.273560882
17-05-2012,1.273074508
18-05-2012,1.269841194
21-05-2012,1.277302384
22-05-2012,1.281065822
23-05-2012,1.266463995
24-05-2012,1.256123543
25-05-2012,1.253604174
28-05-2012,1.256913066
29-05-2012,1.252505064
30-05-2012,1.247816324
31-05-2012,1.237470627
01-06-2012,1.236246705
04-06-2012,1.240233183
05-06-2012,1.250938296
06-06-2012,1.246261239
07-06-2012,1.257387161
08-06-2012,1.257071018
11-06-2012,1.264542222
12-06-2012,1.247816324
13-06-2012,1.25046885
14-06-2012,1.257387161
15-06-2012,1.262785792
18-06-2012,1.270486593
19-06-2012,1.259763122
20-06-2012,1.268069983
21-06-2012,1.268069983
22-06-2012,1.255177617
25-06-2012,1.253761292
26-06-2012,1.25046885
27-06-2012,1.248751163
28-06-2012,1.247349381
29-06-2012,1.244090557
02-07-2012,1.265518427
03-07-2012,1.258178234
04-07-2012,1.260557175
05-07-2012,1.251627207
06-07-2012,1.239157438
09-07-2012,1.22714448
10-07-2012,1.231830478
11-07-2012,1.225640297
12-07-2012,1.22472477
13-07-2012,1.219274282
16-07-2012,1.224889755
17-07-2012,1.226843357
18-07-2012,1.229558587
19-07-2012,1.227747083
20-07-2012,1.227686763
23-07-2012,1.212709188
24-07-2012,1.212415099
25-07-2012,1.206185341
26-07-2012,1.2140342
27-07-2012,1.228048682
30-07-2012,1.230466366
31-07-2012,1.225940943
01-08-2012,1.22940743
02-08-2012,1.224140048
03-08-2012,1.218026876
06-08-2012,1.242853642
07-08-2012,1.239003897
08-08-2012,1.238696933
09-08-2012,1.237332821
10-08-2012,1.22940743
13-08-2012,1.227716923
14-08-2012,1.232741594
15-08-2012,1.232589722
16-08-2012,1.228954077
17-08-2012,1.235788465
20-08-2012,1.233258605
21-08-2012,1.235330462
22-08-2012,1.247660637
23-08-2012,1.253446937
24-08-2012,1.256123543
27-08-2012,1.250437617
28-08-2012,1.250156283
29-08-2012,1.257228971
30-08-2012,1.25313282
31-08-2012,1.251094699
03-09-2012,1.257703424
04-09-2012,1.258653283
05-09-2012,1.253446937
06-09-2012,1.260239482
07-09-2012,1.263264298
10-09-2012,1.279590607
11-09-2012,1.276161313
12-09-2012,1.28518188
13-09-2012,1.290322661
14-09-2012,1.299376369
17-09-2012,1.311647534
18-09-2012,1.311011195
19-09-2012,1.304631472
20-09-2012,1.305823922
21-09-2012,1.297353387
24-09-2012,1.296848655
25-09-2012,1.294163346
26-09-2012,1.29000628
27-09-2012,1.288161755
28-09-2012,1.291322351
01-10-2012,1.28090167
02-10-2012,1.28882587
03-10-2012,1.291655898
04-10-2012,1.292323589
05-10-2012,1.301744342
08-10-2012,1.301574945
09-10-2012,1.297690034
10-10-2012,1.285842896
11-10-2012,1.285842896
12-10-2012,1.293326497
15-10-2012,1.294330835
16-10-2012,1.296848655
17-10-2012,1.310787797
18-10-2012,1.311647534
19-10-2012,1.306916118
22-10-2012,1.302252889
