Date,USD/EUR
09-06-2011,0.684840024
10-06-2011,0.688910007
13-06-2011,0.697709978
14-06-2011,0.69362998
15-06-2011,0.692040026
16-06-2011,0.705120027
17-06-2011,0.704270005
20-06-2011,0.700030029
21-06-2011,0.698059976
22-06-2011,0.695330024
23-06-2011,0.698599994
24-06-2011,0.70077002
27-06-2011,0.705649972
28-06-2011,0.69848001
29-06-2011,0.696479976
30-06-2011,0.69066
01-07-2011,0.689800024
04-07-2011,0.687759995
05-07-2011,0.687139988
06-07-2011,0.693090022
07-07-2011,0.697759986
08-07-2011,0.696160018
11-07-2011,0.704129994
12-07-2011,0.712220013
13-07-2011,0.715870023
14-07-2011,0.702530026
15-07-2011,0.706350029
18-07-2011,0.708060026
19-07-2011,0.708620012
20-07-2011,0.705569983
21-07-2011,0.70077002
22-07-2011,0.693480015
25-07-2011,0.694999993
26-07-2011,0.695819974
27-07-2011,0.68927002
28-07-2011,0.695749998
29-07-2011,0.697740018
01-08-2011,0.696200013
02-08-2011,0.701160014
03-08-2011,0.705550015
04-08-2011,0.696720004
05-08-2011,0.710879982
08-08-2011,0.699590027
09-08-2011,0.705680013
10-08-2011,0.695259988
11-08-2011,0.707979977
12-08-2011,0.70292002
15-08-2011,0.700569987
16-08-2011,0.692600012
17-08-2011,0.694540024
18-08-2011,0.693040013
19-08-2011,0.698109984
22-08-2011,0.695930004
23-08-2011,0.696330011
24-08-2011,0.692659974
25-08-2011,0.693849981
26-08-2011,0.695749998
29-08-2011,0.689890027
30-08-2011,0.688499987
31-08-2011,0.692849994
01-09-2011,0.695670009
02-09-2011,0.701160014
05-09-2011,0.706330001
06-09-2011,0.711080015
07-09-2011,0.714119971
08-09-2011,0.709940016
09-09-2011,0.719210029
12-09-2011,0.735249996
13-09-2011,0.732050002
14-09-2011,0.730669975
15-09-2011,0.727479994
16-09-2011,0.721029997
19-09-2011,0.729849994
20-09-2011,0.734990001
21-09-2011,0.730250001
22-09-2011,0.73605001
23-09-2011,0.741789997
26-09-2011,0.738170028
27-09-2011,0.739750028
28-09-2011,0.736249983
29-09-2011,0.738680005
30-09-2011,0.736060023
03-10-2011,0.748449981
04-10-2011,0.757860005
05-10-2011,0.750180006
06-10-2011,0.749629974
07-10-2011,0.74466002
10-10-2011,0.747049987
11-10-2011,0.73338002
12-10-2011,0.732829988
13-10-2011,0.725059986
14-10-2011,0.72803998
17-10-2011,0.720510006
18-10-2011,0.727590024
19-10-2011,0.727800012
20-10-2011,0.726480007
21-10-2011,0.725740016
24-10-2011,0.722140014
25-10-2011,0.718270004
26-10-2011,0.719190001
27-10-2011,0.720619977
28-10-2011,0.705519974
31-10-2011,0.707210004
01-11-2011,0.721499979
02-11-2011,0.732280016
03-11-2011,0.730459988
04-11-2011,0.723070025
07-11-2011,0.725199997
08-11-2011,0.726740003
09-11-2011,0.723249972
10-11-2011,0.739279985
11-11-2011,0.734749973
14-11-2011,0.725319982
15-11-2011,0.733990014
16-11-2011,0.740350008
17-11-2011,0.743990004
18-11-2011,0.743049979
21-11-2011,0.739099979
22-11-2011,0.741599977
23-11-2011,0.739539981
24-11-2011,0.748950005
25-11-2011,0.750129998
28-11-2011,0.751119971
29-11-2011,0.750919998
30-11-2011,0.750519991
01-12-2011,0.743830025
02-12-2011,0.742560029
05-12-2011,0.745209992
06-12-2011,0.747009993
07-12-2011,0.745599985
08-12-2011,0.746060014
09-12-2011,0.749319971
12-12-2011,0.747850001
13-12-2011,0.759239972
14-12-2011,0.768100023
15-12-2011,0.769940019
16-12-2011,0.767480016
19-12-2011,0.767050028
20-12-2011,0.768769979
21-12-2011,0.76406002
22-12-2011,0.766870022
23-12-2011,0.765929997
26-12-2011,0.766579986
27-12-2011,0.766250014
28-12-2011,0.764989972
29-12-2011,0.773559988
30-12-2011,0.771839976
02-01-2012,0.771600008
03-01-2012,0.772740006
04-01-2012,0.765929997
05-01-2012,0.773310006
06-01-2012,0.781490028
09-01-2012,0.788619995
10-01-2012,0.782720029
11-01-2012,0.784200013
12-01-2012,0.785920024
13-01-2012,0.779999971
16-01-2012,0.790700018
17-01-2012,0.78944999
18-01-2012,0.784560025
19-01-2012,0.777239978
20-01-2012,0.771309972
23-01-2012,0.776109993
24-01-2012,0.767639995
25-01-2012,0.76681
26-01-2012,0.762929976
27-01-2012,0.763779998
30-01-2012,0.757120013
31-01-2012,0.761059999
01-02-2012,0.764699996
02-02-2012,0.759299994
03-02-2012,0.761200011
06-02-2012,0.761780024
07-02-2012,0.762099981
08-02-2012,0.754800022
09-02-2012,0.754800022
10-02-2012,0.753099978
13-02-2012,0.755469978
14-02-2012,0.75999999
15-02-2012,0.761399984
16-02-2012,0.765810013
17-02-2012,0.761799991
20-02-2012,0.75602001
21-02-2012,0.757300019
22-02-2012,0.755100012
23-02-2012,0.754390001
24-02-2012,0.747739971
27-02-2012,0.742550015
28-02-2012,0.745899975
29-02-2012,0.741949975
01-03-2012,0.750699997
02-03-2012,0.75059998
05-03-2012,0.758369982
06-03-2012,0.756099999
07-03-2012,0.762000024
08-03-2012,0.761039972
09-03-2012,0.753300011
12-03-2012,0.761900008
13-03-2012,0.75940001
14-03-2012,0.764500022
15-03-2012,0.76789999
16-03-2012,0.764599979
19-03-2012,0.758889973
20-03-2012,0.755900025
21-03-2012,0.755420029
22-03-2012,0.756500006
23-03-2012,0.757300019
26-03-2012,0.752839983
27-03-2012,0.74849999
28-03-2012,0.750259995
29-03-2012,0.750400007
30-03-2012,0.751100004
02-04-2012,0.748600006
03-04-2012,0.75
04-04-2012,0.75612998
05-04-2012,0.760800004
06-04-2012,0.765399992
09-04-2012,0.764580011
10-04-2012,0.762700021
11-04-2012,0.764900029
12-04-2012,0.762199998
13-04-2012,0.75819999
16-04-2012,0.765900016
17-04-2012,0.761799991
18-04-2012,0.761300027
19-04-2012,0.762199998
20-04-2012,0.760699987
23-04-2012,0.757300019
24-04-2012,0.760339975
25-04-2012,0.757700026
26-04-2012,0.755699992
27-04-2012,0.758099973
30-04-2012,0.755200028
01-05-2012,0.755299985
02-05-2012,0.755299985
03-05-2012,0.760599971
04-05-2012,0.760100007
07-05-2012,0.770990014
08-05-2012,0.765600026
09-05-2012,0.769500017
10-05-2012,0.773000002
11-05-2012,0.773100019
14-05-2012,0.775200009
15-05-2012,0.779299974
16-05-2012,0.7852
17-05-2012,0.78549999
18-05-2012,0.787500024
21-05-2012,0.782899976
22-05-2012,0.780600011
23-05-2012,0.789600015
24-05-2012,0.79610002
25-05-2012,0.797699988
28-05-2012,0.795599997
29-05-2012,0.798399985
30-05-2012,0.801400006
31-05-2012,0.808099985
01-06-2012,0.808899999
04-06-2012,0.806299984
05-06-2012,0.799399972
06-06-2012,0.802399993
07-06-2012,0.795300007
08-06-2012,0.79549998
11-06-2012,0.790799975
12-06-2012,0.801400006
13-06-2012,0.799700022
14-06-2012,0.795300007
15-06-2012,0.791899979
18-06-2012,0.787100017
19-06-2012,0.793799996
20-06-2012,0.788600028
21-06-2012,0.788600028
22-06-2012,0.796700001
25-06-2012,0.797599971
26-06-2012,0.799700022
27-06-2012,0.800800025
28-06-2012,0.801699996
29-06-2012,0.803799987
02-07-2012,0.790189981
03-07-2012,0.794799984
04-07-2012,0.793299973
05-07-2012,0.79895997
06-07-2012,0.806999981
09-07-2012,0.814899981
10-07-2012,0.811800003
11-07-2012,0.815900028
12-07-2012,0.816510022
13-07-2012,0.820159972
16-07-2012,0.816399992
17-07-2012,0.815100014
18-07-2012,0.813300014
19-07-2012,0.814499974
20-07-2012,0.814540029
23-07-2012,0.824599981
24-07-2012,0.824800014
25-07-2012,0.829060018
26-07-2012,0.823700011
27-07-2012,0.814300001
30-07-2012,0.812699974
31-07-2012,0.815699995
01-08-2012,0.813399971
02-08-2012,0.816900015
03-08-2012,0.82099998
06-08-2012,0.8046
07-08-2012,0.807099998
08-08-2012,0.807299972
09-08-2012,0.808189988
10-08-2012,0.813399971
13-08-2012,0.814520001
14-08-2012,0.811200023
15-08-2012,0.81129998
16-08-2012,0.81370002
17-08-2012,0.809199989
20-08-2012,0.810859978
21-08-2012,0.809499979
22-08-2012,0.801500022
23-08-2012,0.797800004
24-08-2012,0.79610002
27-08-2012,0.799719989
28-08-2012,0.799899995
29-08-2012,0.795400023
30-08-2012,0.797999978
31-08-2012,0.799300015
03-09-2012,0.795099974
04-09-2012,0.794499993
05-09-2012,0.797800004
06-09-2012,0.793500006
07-09-2012,0.791599989
10-09-2012,0.781499982
11-09-2012,0.783599973
12-09-2012,0.778100014
13-09-2012,0.774999976
14-09-2012,0.769599974
17-09-2012,0.762399971
18-09-2012,0.762769997
19-09-2012,0.766499996
20-09-2012,0.765799999
21-09-2012,0.770799994
24-09-2012,0.771099985
25-09-2012,0.772700012
26-09-2012,0.775189996
27-09-2012,0.776300013
28-09-2012,0.774399996
01-10-2012,0.780700028
02-10-2012,0.775900006
03-10-2012,0.774200022
04-10-2012,0.773800015
05-10-2012,0.76819998
08-10-2012,0.768299997
09-10-2012,0.770600021
10-10-2012,0.777700007
11-10-2012,0.777700007
12-10-2012,0.773199975
15-10-2012,0.772599995
16-10-2012,0.771099985
17-10-2012,0.762899995
18-10-2012,0.762399971
19-10-2012,0.765160024
22-10-2012,0.76789999
23-10-2012,0.765100002
24-10-2012,0.770799994
25-10-2012,0.771300018
26-10-2012,0.772899985
29-10-2012,0.773750007
30-10-2012,0.774699986
31-10-2012,0.771449983
01-11-2012,0.771300018
02-11-2012,0.772300005
05-11-2012,0.779550016
06-11-2012,0.781099975
07-11-2012,0.78075999
08-11-2012,0.783699989
09-11-2012,0.784600019
12-11-2012,0.785920024
13-11-2012,0.786800027
14-11-2012,0.786800027
15-11-2012,0.785399973
16-11-2012,0.782199979
19-11-2012,0.78372997
20-11-2012,0.783119977
21-11-2012,0.780369997
22-11-2012,0.7773
23-11-2012,0.776690006
26-11-2012,0.77125001
27-11-2012,0.769999981
28-11-2012,0.772899985
29-11-2012,0.772000015
30-11-2012,0.770799994
03-12-2012,0.769420028
05-12-2012,0.763400018
06-12-2012,0.765100002
07-12-2012,0.771399975
10-12-2012,0.774829984
11-12-2012,0.772899985
12-12-2012,0.768450022
13-12-2012,0.765299976
14-12-2012,0.764599979
17-12-2012,0.759540021
18-12-2012,0.759599984
19-12-2012,0.755800009
20-12-2012,0.756699979
21-12-2012,0.755420029
24-12-2012,0.75861001
25-12-2012,0.758700013
26-12-2012,0.758700013
27-12-2012,0.756099999
28-12-2012,0.754700005
31-12-2012,0.755990028
01-01-2013,0.757499993
02-01-2013,0.757700026
03-01-2013,0.758599997
04-01-2013,0.76730001
07-01-2013,0.765259981
08-01-2013,0.761900008
09-01-2013,0.764389992
10-01-2013,0.765999973
11-01-2013,0.753400028
14-01-2013,0.748390019
15-01-2013,0.747500002
16-01-2013,0.751399994
17-01-2013,0.752399981
18-01-2013,0.747799993
21-01-2013,0.750750005
22-01-2013,0.751230001
23-01-2013,0.75108999
24-01-2013,0.751399994
25-01-2013,0.747979999
28-01-2013,0.742609978
29-01-2013,0.743700027
30-01-2013,0.74119997
31-01-2013,0.737010002
01-02-2013,0.734700024
04-02-2013,0.732670009
05-02-2013,0.740100026
06-02-2013,0.736299992
07-02-2013,0.73943001
08-02-2013,0.746860027
11-02-2013,0.74804002
12-02-2013,0.746070027
13-02-2013,0.74338001
14-02-2013,0.743799984
15-02-2013,0.748899996
18-02-2013,0.74940002
