Date,Crude_Oil
29-09-2011,82.13999939
30-09-2011,79.19999695
03-10-2011,77.61000061
04-10-2011,75.66999817
05-10-2011,79.68000031
06-10-2011,82.58999634
07-10-2011,82.98000336
10-10-2011,85.41000366
11-10-2011,85.80999756
12-10-2011,85.56999969
13-10-2011,84.23000336
14-10-2011,86.80000305
17-10-2011,86.37999725
18-10-2011,88.33999634
19-10-2011,86.11000061
20-10-2011,85.30000305
21-10-2011,87.40000153
24-10-2011,91.26999664
25-10-2011,93.16999817
26-10-2011,90.19999695
27-10-2011,93.95999908
28-10-2011,93.31999969
31-10-2011,93.19000244
01-11-2011,92.19000244
02-11-2011,92.51000214
03-11-2011,94.06999969
04-11-2011,94.26000214
07-11-2011,95.51999664
08-11-2011,96.80000305
09-11-2011,95.73999786
10-11-2011,97.77999878
11-11-2011,98.98999786
14-11-2011,98.13999939
15-11-2011,99.37000275
16-11-2011,102.5899963
17-11-2011,98.81999969
18-11-2011,97.41000366
21-11-2011,96.91999817
22-11-2011,98.01000214
23-11-2011,96.16999817
25-11-2011,96.76999664
28-11-2011,98.20999908
29-11-2011,99.79000092
30-11-2011,100.3600006
01-12-2011,100.1999969
02-12-2011,100.9599991
05-12-2011,100.9899979
06-12-2011,101.2799988
07-12-2011,100.4899979
08-12-2011,98.33999634
09-12-2011,99.41000366
12-12-2011,97.76999664
13-12-2011,100.1399994
14-12-2011,94.94999695
15-12-2011,93.87000275
16-12-2011,93.52999878
19-12-2011,93.87999725
20-12-2011,97.22000122
21-12-2011,98.66999817
22-12-2011,99.52999878
23-12-2011,99.68000031
27-12-2011,101.3399963
28-12-2011,99.36000061
29-12-2011,99.65000153
30-12-2011,98.83000183
03-01-2012,102.9599991
04-01-2012,103.2200012
05-01-2012,101.8099976
06-01-2012,101.5599976
09-01-2012,101.3099976
10-01-2012,102.2399979
11-01-2012,100.8700027
12-01-2012,99.09999847
13-01-2012,98.69999695
17-01-2012,100.7099991
18-01-2012,100.5899963
19-01-2012,100.3899994
20-01-2012,98.45999908
23-01-2012,99.58000183
24-01-2012,98.94999695
25-01-2012,99.40000153
26-01-2012,99.69999695
27-01-2012,99.55999756
30-01-2012,98.77999878
31-01-2012,98.48000336
01-02-2012,97.61000061
02-02-2012,96.36000061
03-02-2012,97.83999634
06-02-2012,96.91000366
07-02-2012,98.41000366
08-02-2012,98.70999908
09-02-2012,99.83999634
10-02-2012,98.66999817
13-02-2012,100.9100037
14-02-2012,100.7399979
15-02-2012,101.8000031
16-02-2012,102.3099976
17-02-2012,103.2399979
21-02-2012,105.8399963
22-02-2012,106.2799988
23-02-2012,107.8300018
24-02-2012,109.7699966
27-02-2012,108.5599976
28-02-2012,106.5500031
29-02-2012,107.0699997
01-03-2012,108.8399963
02-03-2012,106.6999969
05-03-2012,106.7200012
06-03-2012,104.6999969
07-03-2012,106.1600037
08-03-2012,106.5800018
09-03-2012,107.4000015
12-03-2012,106.3399963
13-03-2012,106.7099991
14-03-2012,105.4300003
15-03-2012,105.1100006
16-03-2012,107.0599976
19-03-2012,108.0899963
20-03-2012,105.6100006
21-03-2012,107.2699966
22-03-2012,105.3499985
23-03-2012,106.8700027
26-03-2012,107.0299988
27-03-2012,107.3300018
28-03-2012,105.4100037
29-03-2012,102.7799988
30-03-2012,103.0199966
02-04-2012,105.2300034
03-04-2012,104.0100021
04-04-2012,101.4700012
05-04-2012,103.3099976
09-04-2012,102.4599991
10-04-2012,101.0199966
11-04-2012,102.6999969
12-04-2012,103.6399994
13-04-2012,102.8300018
16-04-2012,102.9300003
17-04-2012,104.1999969
18-04-2012,102.6699982
19-04-2012,102.2699966
20-04-2012,103.0500031
23-04-2012,103.1100006
24-04-2012,103.5500031
25-04-2012,104.1200027
26-04-2012,104.5500031
27-04-2012,104.9300003
30-04-2012,104.8700027
01-05-2012,106.1600037
02-05-2012,105.2200012
03-05-2012,102.5400009
04-05-2012,98.48999786
07-05-2012,97.94000244
08-05-2012,97.01000214
09-05-2012,96.80999756
10-05-2012,97.08000183
